Number,Site_ID,site_name,spp,Genus,Species,phenophase,Early / Late Spring,Difference Between snowmelt and mean phenology
1,i3,ALEXFIORD,SALARC,Salix,arctica,Flower,Late,16
2,i53,ZACKENBERG,SALARC,Salix,arctica,Flower,Early,3
3,i20,QHI,SALARC,Salix,arctica,Flower,Late,23
4,i20,QHI,SALARC,Salic ,arcitca,Green,Early,13
5,i7,BARROW,SALROT,Salix,rotundifolia,Green,Early,11
6,i7,BARROW,SALROT,Salix,rotundifolia,Flower,Late,19
7,i7,BARROW,ERITRI,Eriophorum ,triste,Green,Early,6
8,i20,QHI,ERIVAG,Eriophorum ,vaginatum,Flower,Early,12
9,i3,ALEXFIORD,PAPRAD,Papaver,radicatum,Green,Early,7
10,i3,ALEXFIORD,PAPRAD,Papaver,radicatum,Flower,Late,28
11,i53,ZACKENBERG,PAPRAD,Papaver,radicatum,Flower,Late,30